time,skill,queue,dialing,acw,loginin,free,leave,yuzhan
08:04:28,7020,0,0,0,2,0,2,0
08:04:33,7062,0,0,0,0,0,0,0
08:04:33,7020,0,0,0,2,0,2,0
08:04:38,7062,0,0,0,0,0,0,0
08:04:38,7020,0,0,0,2,0,2,0
08:04:43,7062,0,0,0,0,0,0,0
08:04:43,7020,0,0,0,2,0,2,0
08:04:48,7062,0,0,0,0,0,0,0
08:04:48,7020,0,0,0,2,0,2,0
08:04:53,7062,0,0,0,0,0,0,0
08:04:53,7020,0,0,0,2,0,2,0
08:04:58,7062,0,0,0,0,0,0,0
08:04:58,7020,0,0,0,2,0,2,0
08:05:03,7062,0,0,0,0,0,0,0
08:05:03,7020,0,0,0,2,0,2,0
08:05:08,7062,0,0,0,0,0,0,0
08:05:08,7020,0,0,0,2,0,2,0
08:05:13,7062,0,0,0,0,0,0,0
08:05:13,7020,0,0,0,2,0,2,0
08:05:18,7062,0,0,0,0,0,0,0
08:05:18,7020,0,0,0,2,0,2,0
08:05:23,7062,0,0,0,0,0,0,0
08:05:23,7020,0,0,0,2,0,2,0
08:05:28,7062,0,0,0,0,0,0,0
08:05:28,7020,0,0,0,2,0,2,0
08:05:33,7062,0,0,0,0,0,0,0
08:05:33,7020,0,0,0,2,0,2,0
08:05:38,7062,0,0,0,0,0,0,0
08:05:38,7020,0,0,0,2,0,2,0
08:05:43,7062,0,0,0,0,0,0,0
08:05:43,7020,0,0,0,2,0,2,0
08:05:48,7062,0,0,0,0,0,0,0
08:05:48,7020,0,0,0,2,0,2,0
08:05:53,7062,0,0,0,0,0,0,0
08:05:53,7020,0,0,0,2,0,2,0
08:05:58,7062,0,0,0,0,0,0,0
08:05:58,7020,0,0,0,2,0,2,0
08:06:03,7062,0,0,0,0,0,0,0
08:06:03,7020,0,0,0,2,0,2,0
08:06:08,7062,0,0,0,0,0,0,0
08:06:08,7020,0,0,0,2,0,2,0
08:06:13,7062,0,0,0,0,0,0,0
08:06:13,7020,0,0,0,2,0,2,0
08:06:18,7062,0,0,0,0,0,0,0
08:06:18,7020,0,0,0,2,0,2,0
08:06:23,7062,0,0,0,0,0,0,0
08:06:23,7020,0,0,0,3,0,3,0
08:06:28,7062,0,0,0,0,0,0,0
08:06:28,7020,0,0,0,3,0,3,0
08:06:33,7062,0,0,0,0,0,0,0
08:06:33,7020,0,0,0,3,0,3,0
08:06:38,7062,0,0,0,0,0,0,0
08:06:38,7020,0,0,0,3,0,3,0
08:06:43,7062,0,0,0,0,0,0,0
08:06:43,7020,0,0,0,3,0,3,0
08:06:48,7062,0,0,0,0,0,0,0
08:06:48,7020,0,0,0,3,0,3,0
08:06:53,7062,0,0,0,0,0,0,0
08:06:53,7020,0,0,0,3,0,3,0
08:06:58,7062,0,0,0,0,0,0,0
08:06:58,7020,0,0,0,3,0,3,0
08:07:03,7062,0,0,0,0,0,0,0
08:07:03,7020,0,1,0,3,0,3,0
08:07:08,7062,0,0,0,0,0,0,0
08:07:08,7020,0,1,0,3,0,3,0
08:07:13,7062,0,0,0,0,0,0,0
08:07:13,7020,0,1,0,3,0,3,0
08:07:18,7062,0,0,0,0,0,0,0
08:07:18,7020,0,1,0,3,0,3,0
08:07:23,7062,0,0,0,0,0,0,0
08:07:23,7020,0,1,0,3,0,3,0
08:07:28,7062,0,0,0,0,0,0,0
08:07:28,7020,0,1,0,3,0,3,0
08:07:33,7062,0,0,0,0,0,0,0
08:07:33,7020,0,1,0,3,0,3,0
08:07:38,7062,0,0,0,0,0,0,0
08:07:38,7020,0,1,0,3,0,3,0
08:07:43,7062,0,0,0,0,0,0,0
08:07:43,7020,0,1,0,3,0,3,0
08:07:48,7062,0,0,0,0,0,0,0
